"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"312","Icelus spiniger","Icelus spiniger Gilbert, 1896","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Icelus",1,44,204,590,8621,2333820,5201198,"Actinopterygii"
"313","Icelus uncinalis","Icelus uncinalis Gilbert & Burke, 1912","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Icelus",1,44,204,590,8621,2333820,5201206,"Actinopterygii"
"314","Ichthyococcus elongatus","Ichthyococcus elongatus Imai, 1941","species","Animalia","Chordata","Stomiiformes","Phosichthyidae","Ichthyococcus",1,44,204,774,2227,2346806,2346814,"Actinopterygii"
"315","Ichthyococcus irregularis","Ichthyococcus irregularis Rechnitzer & Böhlke, 1958","species","Animalia","Chordata","Stomiiformes","Phosichthyidae","Ichthyococcus",1,44,204,774,2227,2346806,2346817,"Actinopterygii"
"316","Icichthys lockingtoni","Icichthys lockingtoni Jordan & Gilbert, 1880","species","Animalia","Chordata","Perciformes","Centrolophidae","Icichthys",1,44,204,587,8515,2398045,2398046,"Actinopterygii"
"317","Icosteus aenigmaticus","Icosteus aenigmaticus Lockington, 1880","species","Animalia","Chordata","Perciformes","Icosteidae","Icosteus",1,44,204,587,9668,2394444,2394445,"Actinopterygii"
"318","Idiacanthus antrostomus","Idiacanthus antrostomus Gilbert, 1890","species","Animalia","Chordata","Stomiiformes","Stomiidae","Idiacanthus",1,44,204,774,2225,2347107,5203187,"Actinopterygii"
"319","Isopsetta isolepis","Isopsetta isolepis (Lockington, 1880)","species","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Isopsetta",1,44,204,588,8611,2409201,2409202,"Actinopterygii"
"320","Isurus oxyrinchus","Isurus oxyrinchus Rafinesque, 1810","species","Animalia","Chordata","Lamniformes","Lamnidae","Isurus",1,44,121,885,5888,2420665,5216248,"Elasmobranchii"
"321","Jordania zonope","Jordania zonope Starks, 1895","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Jordania",1,44,204,590,8621,2333883,2333884,"Actinopterygii"
"322","Katsuwonus pelamis","Katsuwonus pelamis (Linnaeus, 1758)","species","Animalia","Chordata","Perciformes","Scombridae","Katsuwonus",1,44,204,587,8596,2374190,2374191,"Actinopterygii"
"323","Laemonema longipes","Laemonema longipes Schmidt, 1938","species","Animalia","Chordata","Gadiformes","Moridae","Laemonema",1,44,204,549,3704,5428819,5215409,"Actinopterygii"
"324","Lamna ditropis","Lamna ditropis Hubbs & Follett, 1947","species","Animalia","Chordata","Lamniformes","Lamnidae","Lamna",1,44,121,885,5888,2418232,5216246,"Elasmobranchii"
"325","Lampadena urophaos","Lampadena urophaos Paxton, 1963","species","Animalia","Chordata","Myctophiformes","Myctophidae","Lampadena",1,44,204,1306,4217,2405905,4286713,"Actinopterygii"
"326","Lampadena yaquinae","Lampadena yaquinae (Coleman & Nafpaktitis, 1972)","species","Animalia","Chordata","Myctophiformes","Myctophidae","Lampadena",1,44,204,1306,4217,2405905,2405917,"Actinopterygii"
"327","Lampanyctus acanthurus","Lampanyctus acanthurus Wisner, 1974","species","Animalia","Chordata","Myctophiformes","Myctophidae","Lampanyctus",1,44,204,1306,4217,2405956,2405997,"Actinopterygii"
"328","Nannobrachium bristori","Nannobrachium bristori Zahuranec, 2000","species","Animalia","Chordata","Myctophiformes","Myctophidae","Nannobrachium",1,44,204,1306,4217,2405600,2405609,"Actinopterygii"
"329","Lampanyctus jordani","Lampanyctus jordani Gilbert, 1913","species","Animalia","Chordata","Myctophiformes","Myctophidae","Lampanyctus",1,44,204,1306,4217,2405956,2406003,"Actinopterygii"
"330","Nannobrachium regale","Nannobrachium regale (Gilbert, 1892)","species","Animalia","Chordata","Myctophiformes","Myctophidae","Nannobrachium",1,44,204,1306,4217,2405600,2405641,"Actinopterygii"
"331","Nannobrachium ritteri","Nannobrachium ritteri (Gilbert, 1915)","species","Animalia","Chordata","Myctophiformes","Myctophidae","Nannobrachium",1,44,204,1306,4217,2405600,2405619,"Actinopterygii"
"332","Lampanyctus simulator","Lampanyctus simulator Wisner, 1971","species","Animalia","Chordata","Myctophiformes","Myctophidae","Lampanyctus",1,44,204,1306,4217,2405956,2405959,"Actinopterygii"
"333","Lampetra ayresii","Lampetra ayresii (Günther, 1870)","species","Animalia","Chordata","Petromyzontiformes","Petromyzontidae","Lampetra",1,44,239,771,2212,2421329,5216497,"Cephalaspidomorphi"
"334","Lampris guttatus","Lampris guttatus (Brünnich, 1788)","species","Animalia","Chordata","Lampriformes","Lampridae","Lampris",1,44,204,1166,7673,2400461,2400463,"Actinopterygii"
"335","Lepidogobius lepidus","Lepidogobius lepidus (Girard, 1858)","species","Animalia","Chordata","Perciformes","Gobiidae","Lepidogobius",1,44,204,587,4274,2379181,2379182,"Actinopterygii"
"336","Lepidopsetta bilineata","Lepidopsetta bilineata (Ayres, 1855)","species","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Lepidopsetta",1,44,204,588,8611,5213905,5213939,"Actinopterygii"
"337","Lepidopsetta polyxystra","Lepidopsetta polyxystra Orr & Matarese, 2000","species","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Lepidopsetta",1,44,204,588,8611,5213905,5213938,"Actinopterygii"
"338","Lepidopus fitchi","Lepidopus fitchi Rosenblatt & Wilson, 1987","species","Animalia","Chordata","Perciformes","Trichiuridae","Lepidopus",1,44,204,587,8600,7609446,5210263,"Actinopterygii"
"339","Leptacanthichthys gracilispinis","Leptacanthichthys gracilispinis (Regan, 1925)","species","Animalia","Chordata","Lophiiformes","Oneirodidae","Leptacanthichthys",1,44,204,1305,4216,2414752,2414753,"Actinopterygii"
"340","Leptocephalus giganteus","Leptocephalus giganteus Castle, 1959","species","Animalia","Chordata","Notacanthiformes","Notacanthidae","Leptocephalus",1,44,204,1307,8474,9794147,2404424,"Actinopterygii"
"341","Leptoclinus maculatus","Leptoclinus maculatus (Fries, 1838)","species","Animalia","Chordata","Perciformes","Stichaeidae","Leptoclinus",1,44,204,587,8598,2394831,2394832,"Actinopterygii"
"342","Leptocottus armatus","Leptocottus armatus Girard, 1854","species","Animalia","Chordata","Scorpaeniformes","Cottidae","Leptocottus",1,44,204,590,8621,2333922,2333923,"Actinopterygii"
"343","Lestidiops ringens","Lestidiops ringens (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Aulopiformes","Paralepididae","Lestidiops",1,44,204,497,2964,2401490,2401500,"Actinopterygii"
