"","accession_1","accession_2","taxonID","phylum"
"442","BSCDL057-10",NA,7711,"Chordata"
"443","BSCDL058-10",NA,7711,"Chordata"
"444","BSCDL059-10",NA,7711,"Chordata"
"445","BSCDL060-10",NA,7711,"Chordata"
"446","BSCDL061-10",NA,7711,"Chordata"
"447","BSCDL062-10",NA,7711,"Chordata"
"448","BSCDL063-10",NA,7711,"Chordata"
"449","BSCDL064-10",NA,7711,"Chordata"
"450","BSCDL065-10",NA,7711,"Chordata"
"451","BSCDL066-10",NA,7711,"Chordata"
"452","BSCDL068-10",NA,7711,"Chordata"
"453","BSCDL069-10",NA,7711,"Chordata"
"454","BSCDL070-10",NA,7711,"Chordata"
"455","BSCDL071-10",NA,7711,"Chordata"
"456","BSCDL072-10",NA,7711,"Chordata"
"457","BSCDL073-10",NA,7711,"Chordata"
"458","BSCDL074-10",NA,7711,"Chordata"
"459","BSCDL075-10",NA,7711,"Chordata"
"460","BSCDL076-10",NA,7711,"Chordata"
"461","BSCDL077-10",NA,7711,"Chordata"
"462","BSCDL078-10",NA,7711,"Chordata"
"463","BSCDL079-10",NA,7711,"Chordata"
"464","BSCDL080-10",NA,7711,"Chordata"
"465","BSCDL082-10",NA,7711,"Chordata"
"466","BSCDL091-10",NA,7711,"Chordata"
"467","BSCDL093-10",NA,7711,"Chordata"
"468","BSCDL095-10",NA,7711,"Chordata"
"469","BSCDL097-10",NA,7711,"Chordata"
"470","BSCDL098-10",NA,7711,"Chordata"
"471","BSCDL100-10",NA,7711,"Chordata"
"472","BSCDL101-10",NA,7711,"Chordata"
"473","BSCDL102-10",NA,7711,"Chordata"
"474","BSCDL103-10",NA,7711,"Chordata"
"475","BSCDL104-10",NA,7711,"Chordata"
"476","BSCDL105-10",NA,7711,"Chordata"
"477","BSCDL106-10",NA,7711,"Chordata"
"478","BSCDL107-10",NA,7711,"Chordata"
"479","BSCDL108-10",NA,7711,"Chordata"
"480","BSCDL111-10",NA,7711,"Chordata"
"481","BSCDL127-10",NA,7711,"Chordata"
"482","BSCDL132-10",NA,7711,"Chordata"
"483","BSCDL133-10",NA,7711,"Chordata"
"484","BSCDL134-10",NA,7711,"Chordata"
"485","BSCDL138-10",NA,7711,"Chordata"
"486","BSCDL139-10",NA,7711,"Chordata"
"487","BSCDL140-10",NA,7711,"Chordata"
"488","BSCDL143-10",NA,7711,"Chordata"
"489","BSCDL144-10",NA,7711,"Chordata"
"490","BSCDL145-10",NA,7711,"Chordata"
"491","BSCDL147-10",NA,7711,"Chordata"
"492","BSCDL148-10",NA,7711,"Chordata"
"493","BSCDL149-10",NA,7711,"Chordata"
"494","BSCDL150-10",NA,7711,"Chordata"
"495","BSCDL153-10",NA,7711,"Chordata"
"496","BSCDL158-10",NA,7711,"Chordata"
"497","BSCDL159-10",NA,7711,"Chordata"
"498","BSCDL161-10",NA,7711,"Chordata"
"499","BSCDL162-10",NA,7711,"Chordata"
"500","BSCDL163-10",NA,7711,"Chordata"
"501","BSCDL164-10",NA,7711,"Chordata"
"502","BSCDL165-10",NA,7711,"Chordata"
"503","BSCDL166-10",NA,7711,"Chordata"
"504","BSCDL167-10",NA,7711,"Chordata"
"505","BSCDL168-10",NA,7711,"Chordata"
"506","BSCDL169-10",NA,7711,"Chordata"
"507","BSCDL170-10",NA,7711,"Chordata"
"508","BSCDL171-10",NA,7711,"Chordata"
"509","BSCDL172-10",NA,7711,"Chordata"
"510","BSCDL173-10",NA,7711,"Chordata"
"511","BSCDL174-10",NA,7711,"Chordata"
"512","BSCDL175-10",NA,7711,"Chordata"
"513","BSCDL176-10",NA,7711,"Chordata"
"514","BSCDL177-10",NA,7711,"Chordata"
"515","BSCDL182-10",NA,7711,"Chordata"
"516","BSCDL183-10",NA,7711,"Chordata"
"517","BSCDL184-10",NA,7711,"Chordata"
"518","BSCDL186-10",NA,7711,"Chordata"
"519","BSCDL187-10",NA,7711,"Chordata"
"520","BSCDL188-10",NA,7711,"Chordata"
"521","BSCDL190-10",NA,7711,"Chordata"
"522","BSCDL192-10",NA,7711,"Chordata"
"523","BSCDL193-10",NA,7711,"Chordata"
"524","BSCDL194-10",NA,7711,"Chordata"
"525","BSCDL195-10",NA,7711,"Chordata"
"526","BSCDL197-10",NA,7711,"Chordata"
"527","BSCDL198-11",NA,7711,"Chordata"
"528","BSCDL199-11",NA,7711,"Chordata"
"529","BSCDL200-11",NA,7711,"Chordata"
"530","BSCDL201-11",NA,7711,"Chordata"
"531","BSCDL202-11",NA,7711,"Chordata"
"532","BSCDL203-11",NA,7711,"Chordata"
