"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"294","Rhinichthys osculus x Relictus solitarius","Rhinichthys osculus x Relictus solitarius","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Rhinichthys osculus x Relictus solitarius",4949308,NA
"295","Rhinogobius xiaoi","Rhinogobius xiaoi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Gobiidae","Rhinogobius","Rhinogobius xiaoi",7062905,NA
"296","Rhodeus rheinhardti","Rhodeus rheinhardti","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Acheilognathidae","Rhodeus","Rhodeus rheinhardti",5555059,NA
"297","Rhonciscus branickii","Rhonciscus branickii","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Haemulidae","Rhonciscus","Rhonciscus branickii",870204,NA
"298","Rhynchocypris percnurus","Rhynchocypris percnurus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rhynchocypris","Rhynchocypris percnurus",44672,NA
"299","Rutilus basak","Rutilus basak","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus basak",289313,NA
"300","Rutilus lacustris","Rutilus lacustris","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus lacustris",7066940,NA
"301","Rutilus ohridanus","Rutilus ohridanus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus ohridanus",3121,NA
"302","Rutilus prespensis","Rutilus prespensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus prespensis",379558,NA
"303","Rutilus schelkovnikovi","Rutilus schelkovnikovi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Rutilus","Rutilus schelkovnikovi",7066942,NA
"304","Sabanejewia doiranica","Sabanejewia doiranica","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Sabanejewia","Sabanejewia doiranica",993767,NA
"305","Sabanejewia montana","Sabanejewia montana","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Sabanejewia","Sabanejewia montana",627373,NA
"306","Sabanejewia radnensis","Sabanejewia radnensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Sabanejewia","Sabanejewia radnensis",627371,NA
"307","Sabanejewia thrakica","Sabanejewia thrakica","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cobitidae","Sabanejewia","Sabanejewia thrakica",993774,NA
"308","Salmostoma bacalia","Salmostoma bacalia","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Salmostoma","Salmostoma bacalia",541598,NA
"309","Salvelinus fontinalis x Salvelinus malma","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma",7064431,NA
"310","Salvelinus malma X Salvelinus leucomaenis","Salvelinus malma X Salvelinus leucomaenis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma X Salvelinus leucomaenis",7064432,NA
"311","Salvelinus malma malma x Salvelinus leucomaenis","Salvelinus malma malma x Salvelinus leucomaenis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma malma x Salvelinus leucomaenis",4949216,NA
"312","Sander lucioperca x Perca fluviatilis","Sander lucioperca x Perca fluviatilis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Percidae",NA,"Sander lucioperca x Perca fluviatilis",4948977,NA
"313","Sasanidus kermanshahensis","Sasanidus kermanshahensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae","Sasanidus","Sasanidus kermanshahensis",849277,NA
"314","Scaphirhynchus albus x Scaphirhynchus platorynchus","Scaphirhynchus albus x Scaphirhynchus platorynchus","Eukaryota","Metazoa","Chordata","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Scaphirhynchus","Scaphirhynchus albus x Scaphirhynchus platorynchus",5924423,NA
"315","Schistura huapingensis","Schistura huapingensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae","Schistura","Schistura huapingensis",7066334,NA
"316","Schistura putaoensis","Schistura putaoensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae","Schistura","Schistura putaoensis",552759,NA
"317","Schistura shuangjiangensis","Schistura shuangjiangensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae","Schistura","Schistura shuangjiangensis",282134,NA
"318","Schistura thai","Schistura thai","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Nemacheilidae","Schistura","Schistura thai",856249,NA
"319","Scomberomorus munroi x Scomberomorus semifasciatus","Scomberomorus munroi x Scomberomorus semifasciatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Scombridae","Scomberomorus","Scomberomorus munroi x Scomberomorus semifasciatus",4948797,NA
"320","Siganus corallinus x Siganus puellus","Siganus corallinus x Siganus puellus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Siganidae","Siganus","Siganus corallinus x Siganus puellus",4948818,NA
"321","Sillago ciliata x Sillago analis","Sillago ciliata x Sillago analis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sillaginidae","Sillago","Sillago ciliata x Sillago analis",4949039,NA
"322","Siniperca chuatsi x Siniperca knerii","Siniperca chuatsi x Siniperca knerii","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sinipercidae","Siniperca","Siniperca chuatsi x Siniperca knerii",5859543,NA
"323","Siniperca chuatsi x Siniperca scherzeri","Siniperca chuatsi x Siniperca scherzeri","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sinipercidae","Siniperca","Siniperca chuatsi x Siniperca scherzeri",5859540,NA
"324","Siniperca knerii x Siniperca chuatsi","Siniperca knerii x Siniperca chuatsi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sinipercidae","Siniperca","Siniperca knerii x Siniperca chuatsi",5859542,NA
"325","Siniperca scherzeri x Siniperca chuatsi","Siniperca scherzeri x Siniperca chuatsi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sinipercidae","Siniperca","Siniperca scherzeri x Siniperca chuatsi",5859541,NA
"326","Squaliobarbus curriculus x Ctenopharyngodon idella","Squaliobarbus curriculus x Ctenopharyngodon idella","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Squaliobarbus curriculus x Ctenopharyngodon idella",4949321,NA
"327","Squalius squalus x Squalius lucumonis","Squalius squalus x Squalius lucumonis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Squalius","Squalius squalus x Squalius lucumonis",5555005,NA
"328","Stephanolepis auratus","Stephanolepis auratus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Monacanthidae","Stephanolepis","Stephanolepis auratus",3631336,NA
"329",NA,"Sturisoma aureum","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Loricariidae","Sturisoma","Sturisoma aureum",3622661,NA
"330",NA,"Sturisoma frenatum","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Loricariidae","Sturisoma","Sturisoma frenatum",3622665,NA
"331","Synchiropus kamoharai","Synchiropus kamoharai","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Callionymidae","Synchiropus","Synchiropus kamoharai",3632802,NA
"332","Synchiropus papilio","Synchiropus papilio","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Callionymidae","Synchiropus","Synchiropus papilio",3632757,NA
"333","Tachysurus aurantiacus","Tachysurus aurantiacus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus aurantiacus",804529,NA
"334","Tachysurus brevianalis","Tachysurus brevianalis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus brevianalis",1090588,NA
"335","Tachysurus crassilabris","Tachysurus crassilabris","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus crassilabris",7652970,NA
"336","Tachysurus eupogon","Tachysurus eupogon","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus eupogon",876095,NA
"337","Tachysurus fulvidraco x Leiocassis longirostris","Tachysurus fulvidraco x Leiocassis longirostris","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae",NA,"Tachysurus fulvidraco x Leiocassis longirostris",7065985,NA
"338","Tachysurus fulvidraco x Tachysurus vachelli","Tachysurus fulvidraco x Tachysurus vachelli","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus fulvidraco x Tachysurus vachelli",5839215,NA
"339","Tachysurus intermedius","Tachysurus intermedius","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus intermedius",991173,NA
"340","Tachysurus tokiensis","Tachysurus tokiensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus tokiensis",804531,NA
"341","Tachysurus ussuriensis","Tachysurus ussuriensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus ussuriensis",804534,NA
