"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"2142","Micronemacheilus cruciatus",2358245,"Micronemacheilus curciatus (Rendahl, 1944)","species","SYNONYM","FUZZY","Micronemacheilus curciatus",92,"Animalia","Chordata","Cypriniformes","Nemacheilidae","Yunnanilus","Yunnanilus cruciatus",1,44,204,1153,6759123,2358231,2358243,TRUE,"Actinopterygii",2358243,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=0"
"2201","Repomucenus curvicornis",2386789,"Repomucenus curvicornis (Valenciennes, 1837)","species","SYNONYM","EXACT","Repomucenus curvicornis",98,"Animalia","Chordata","Perciformes","Callionymidae","Callionymus","Callionymus curvicornis",1,44,204,587,8511,2333601,2386788,TRUE,"Actinopterygii",2386788,NA
"2208","Neosynchiropus moyeri",5209956,"Neosynchiropus moyeri (Zaiser & Fricke, 1985)","species","SYNONYM","EXACT","Neosynchiropus moyeri",98,"Animalia","Chordata","Perciformes","Callionymidae","Synchiropus","Synchiropus moyeri",1,44,204,587,8511,2386631,2386648,TRUE,"Actinopterygii",2386648,NA
"2226","Trichiurus japonicus",2389414,"Trichiurus japonicus Temminck & Schlegel, 1844","species","SYNONYM","EXACT","Trichiurus japonicus",98,"Animalia","Chordata","Perciformes","Trichiuridae","Trichiurus","Trichiurus lepturus",1,44,204,587,8600,2389398,2389407,TRUE,"Actinopterygii",2389407,NA
"2227","Trichiurus japonicus",2389409,"Trichiurus japanicus Temminck & Schlegel, 1844","species","SYNONYM","FUZZY","Trichiurus japanicus",92,"Animalia","Chordata","Perciformes","Trichiuridae","Trichiurus","Trichiurus lepturus",1,44,204,587,8600,2389398,2389407,TRUE,"Actinopterygii",2389407,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=0"
"2277","Aperioptus gracilentus",11034437,"Aperioptus gracilentus (Smith, 1945)","species","SYNONYM","EXACT","Aperioptus gracilentus",98,"Animalia","Chordata","Cypriniformes","Cobitidae","Acanthopsoides","Acanthopsoides gracilentus",1,44,204,1153,3385,2368110,2368115,TRUE,"Actinopterygii",2368115,NA
"2289","Osteochilus hasseltii",2364316,"Osteochilus hasseltii (Valenciennes, 1842)","species","SYNONYM","EXACT","Osteochilus hasseltii",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Osteochilus","Osteochilus vittatus",1,44,204,1153,7336,2364291,2364327,TRUE,"Actinopterygii",2364327,NA
"2290","Osteochilus hasseltii",2364325,"Osteochilus hasselti (Valenciennes, 1842)","species","SYNONYM","FUZZY","Osteochilus hasselti",94,"Animalia","Chordata","Cypriniformes","Cyprinidae","Osteochilus","Osteochilus vittatus",1,44,204,1153,7336,2364291,2364327,TRUE,"Actinopterygii",2364327,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"2300","Tariqilabeo burmanicus",2363728,"Tariqilabeo Mirza & Saboohi, 1990","genus","ACCEPTED","HIGHERRANK","Tariqilabeo",94,"Animalia","Chordata","Cypriniformes","Cyprinidae","Tariqilabeo",NA,1,44,204,1153,7336,2363728,NA,FALSE,"Actinopterygii",NA,NA
"2312","Tilodon sexfasciatum",2381206,"Tilodon sexfasciatum (Richardson, 1842)","species","SYNONYM","EXACT","Tilodon sexfasciatum",98,"Animalia","Chordata","Perciformes","Kyphosidae","Tilodon","Tilodon sexfasciatus",1,44,204,587,4279,2381205,2381209,TRUE,"Actinopterygii",2381209,NA
"2313","Tilodon sexfasciatum",2381209,"Tilodon sexfasciatus (Richardson, 1842)","species","ACCEPTED","FUZZY","Tilodon sexfasciatus",94,"Animalia","Chordata","Perciformes","Kyphosidae","Tilodon","Tilodon sexfasciatus",1,44,204,587,4279,2381205,2381209,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
"2359","Encrasicholina pseudoheteroloba",10442852,"Encrasicholina pseudoheteroloba (Hardenberg, 1933)","species","SYNONYM","EXACT","Encrasicholina pseudoheteroloba",98,"Animalia","Chordata","Clupeiformes","Engraulidae","Encrasicholina","Encrasicholina heteroloba",1,44,204,538,7334,2413754,2413765,TRUE,"Actinopterygii",2413765,NA
"2533","Lacustricola hutereaui",4284420,"Lacustricola hutereaui (Boulenger, 1913)","species","SYNONYM","EXACT","Lacustricola hutereaui",98,"Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Micropanchax","Micropanchax hutereaui",1,44,204,547,7659,2350524,2349925,TRUE,"Actinopterygii",2349925,NA
"2549","Cystodytes aucklandicus",2330278,"Cystodytes aucklandicus Nott, 1892","species","SYNONYM","EXACT","Cystodytes aucklandicus",98,"Animalia","Chordata","Aplousobranchia","Polycitoridae","Cystodytes","Cystodytes dellechiajei",1,44,356,9589977,7349,2330271,2330276,TRUE,"Ascidiacea",2330276,NA
