"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"3822","Perostrongylus falciformis",10135917,"Perostrongylus falciformis","species","DOUBTFUL","EXACT","Perostrongylus falciformis",97,"Animalia","Nematoda","Strongylida","Angiostrongylidae","Aelurostrongylus","Perostrongylus falciformis",1,5967481,250,439,5971,2283437,10135917,FALSE,"Secernentea",NA,NA
"3829","Phrikoceros lizardensis",9913655,"Phrikoceros lizardensis (Newman & Cannon, 1996)","species","SYNONYM","EXACT","Phrikoceros lizardensis",98,"Animalia","Platyhelminthes","Polycladida","Pseudocerotidae","Tytthosoceros","Tytthosoceros lizardensis",1,108,NA,429,3268702,4859853,4859855,TRUE,NA,NA,4859855
"3850","Meloidogyne luci",8005155,"Meloidogyne","genus","ACCEPTED","HIGHERRANK","Meloidogyne",94,"Animalia","Nematoda","Tylenchida","Heteroderidae","Meloidogyne",NA,1,5967481,250,972,6466,8005155,NA,FALSE,"Secernentea",NA,NA
"3853","Euparyphium capitaneum",2505690,"Euparyphium Dietz, 1909","genus","ACCEPTED","HIGHERRANK","Euparyphium",94,"Animalia","Platyhelminthes","Plagiorchiida","Echinostomatidae","Euparyphium",NA,1,108,345,434,2528,2505690,NA,FALSE,"Trematoda",NA,NA
"3861","Syphacia rifaii",2284334,"Syphacia Seurat, 1916","genus","ACCEPTED","HIGHERRANK","Syphacia",94,"Animalia","Nematoda","Ascaridida","Oxyuridae","Syphacia",NA,1,5967481,250,442,6488,2284334,NA,FALSE,"Secernentea",NA,NA
"3902","Brachylaima asakawai",2503343,"Brachylaima Dujardin, 1843","genus","ACCEPTED","HIGHERRANK","Brachylaima",94,"Animalia","Platyhelminthes","Diplostomida","Brachylaimidae","Brachylaima",NA,1,108,345,7393567,3164,2503343,NA,FALSE,"Trematoda",NA,NA
"3912","Oesophagostomum muntiacum",2283523,"Oesophagostomum Molin, 1861","genus","ACCEPTED","HIGHERRANK","Oesophagostomum",92,"Animalia","Nematoda","Strongylida","Strongylidae","Oesophagostomum",NA,1,5967481,250,439,2251,2283523,NA,FALSE,"Secernentea",NA,NA
"3913","Lemuricola nycticebi",4557671,"Lemuricola Chabaud & Petter, 1959","genus","ACCEPTED","HIGHERRANK","Lemuricola",94,"Animalia","Nematoda","Ascaridida","Oxyuridae","Lemuricola",NA,1,5967481,250,442,6488,4557671,NA,FALSE,"Secernentea",NA,NA
"3921","Thysaniezia connochaeti",4412717,"Thysaniezia Skryabin, 1926","genus","ACCEPTED","HIGHERRANK","Thysaniezia",94,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Thysaniezia",NA,1,108,144,780,5964,4412717,NA,FALSE,"Cestoda",NA,NA
"3922","Thysaniezia ovilla",4412717,"Thysaniezia Skryabin, 1926","genus","ACCEPTED","HIGHERRANK","Thysaniezia",94,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Thysaniezia",NA,1,108,144,780,5964,4412717,NA,FALSE,"Cestoda",NA,NA
"3928","Parachristianella mendozai",4345346,"Parachristianella Dollfus, 1946","genus","ACCEPTED","HIGHERRANK","Parachristianella",94,"Animalia","Platyhelminthes","Trypanorhyncha","Eutetrarhynchidae","Parachristianella",NA,1,108,144,891,5954,4345346,NA,FALSE,"Cestoda",NA,NA
"3930","Parachristianella kuchtai",4345346,"Parachristianella Dollfus, 1946","genus","ACCEPTED","HIGHERRANK","Parachristianella",94,"Animalia","Platyhelminthes","Trypanorhyncha","Eutetrarhynchidae","Parachristianella",NA,1,108,144,891,5954,4345346,NA,FALSE,"Cestoda",NA,NA
"3931","Parachristianella campbelli",4345346,"Parachristianella Dollfus, 1946","genus","ACCEPTED","HIGHERRANK","Parachristianella",94,"Animalia","Platyhelminthes","Trypanorhyncha","Eutetrarhynchidae","Parachristianella",NA,1,108,144,891,5954,4345346,NA,FALSE,"Cestoda",NA,NA
"3932","Parachristianella soldanovae",4345346,"Parachristianella Dollfus, 1946","genus","ACCEPTED","HIGHERRANK","Parachristianella",94,"Animalia","Platyhelminthes","Trypanorhyncha","Eutetrarhynchidae","Parachristianella",NA,1,108,144,891,5954,4345346,NA,FALSE,"Cestoda",NA,NA
