found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Oxyperas elongatum,species,Mollusca,Bivalvia,Venerida,Mactridae,Oxyperas,1061455,208534,10996947,4967016,Oxyperas elongata,unaccepted,wrong grammatical agreement of the species epithet,FALSE,NA,"(Quoy & Gaimard, 1835)",Oxyperas elongatum,Oxyperas elongata,Oxyperas elongata,"Oxyperas elongata (Quoy & Gaimard, 1835)",0,0
Stomacosmethis jagori,species,Mollusca,Gastropoda,Architaenioglossa,Alycaeidae,Alycaeus,1457853,667222,8848443,494284,Alycaeus jagori,unaccepted,original combination,FALSE,NA,"(E. von Martens, 1860)",Stomacosmethis jagori,Alycaeus jagori,Alycaeus jagori,"Alycaeus jagori Martens, 1860",0,1
Plectostoma simplex,species,Mollusca,Gastropoda,Architaenioglossa,Diplommatinidae,Plectostoma,1342236,761905,9071836,7494437,Plectostoma simplex,accepted,NA,FALSE,NA,"(Fulton, 1901)",Plectostoma simplex,Plectostoma simplex,Plectostoma simplex,"Plectostoma simplex (Fulton, 1901)",0,1
Plectostoma concinnum,species,Mollusca,Gastropoda,Architaenioglossa,Diplommatinidae,Plectostoma,1342214,503827,9963109,7494436,Plectostoma concinnum,accepted,NA,FALSE,NA,"(Fulton, 1901)",Plectostoma concinnum,Plectostoma concinnum,Plectostoma concinnum,"Plectostoma concinnum (Fulton, 1901)",0,1
Leptopoma undatum,species,Mollusca,Gastropoda,Architaenioglossa,Cyclophoridae,Leptopoma,1342105,764157,10424946,5973356,Leptopoma undatum,accepted,NA,FALSE,NA,"(Metcalfe, 1852)",Leptopoma undatum,Leptopoma undatum,Leptopoma undatum,"Leptopoma undatum (Metcalfe, 1851)",0,1
Videna,genus,Mollusca,Gastropoda,Stylommatophora,Trochomorphidae,Videna,995250,153516,4605645,469005,Videna,accepted,NA,FALSE,NA,"H. Adams & A. Adams, 1855",Videna,Videna,Videna,"Videna H.Adams & A.Adams, 1855",0,1
Microcystina,genus,Mollusca,Gastropoda,Stylommatophora,Ariophantidae,Microcystina,867839,646274,4599132,2883096,Microcystina,accepted,NA,FALSE,NA,"Mörch, 1872",Microcystina,Microcystina,Microcystina,"Microcystina Mörch, 1872",0,1
Pterocyclos,genus,Mollusca,Gastropoda,Architaenioglossa,Cyclophoridae,Pterocyclos,817717,200634,4574300,406662,Pterocyclos,accepted,NA,FALSE,sibling_higher,"Benson, 1832",Pterocyclos,Pterocyclos,Pterocyclos,"Pterocyclos Benson, 1832",0,1
Everettia,genus,Mollusca,Gastropoda,Stylommatophora,Dyakiidae,Everettia,995353,166655,3244109,1045747,Everettia,accepted,NA,FALSE,NA,"Godwin-Austen, 1891",Everettia,Everettia,Everettia,"Everettia Godwin-Austen, 1891",0,1
Allopeas gracile,species,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Allopeas,875198,646260,2294133,2881478,Allopeas gracile,accepted,NA,FALSE,NA,"(T. Hutton, 1834)",Allopeas gracile,Allopeas gracile,Allopeas gracile,"Allopeas gracile (T.Hutton, 1834)",0,1
Georissa similis,species,Mollusca,Gastropoda,Cycloneritida,Hydrocenidae,Georissa,867204,761885,7457016,6364135,Georissa similis,accepted,NA,FALSE,NA,"E. A. Smith, 1893",Georissa similis,Georissa similis,Georissa similis,"Georissa similis E.A.Smith, 1893",0,1
Leptopoma,genus,Mollusca,Gastropoda,Architaenioglossa,Cyclophoridae,Leptopoma,818348,3184,4304941,499306,Leptopoma,accepted,NA,FALSE,sibling_higher,"L. Pfeiffer, 1847",Leptopoma,Leptopoma,Leptopoma,"Leptopoma L.Pfeiffer, 1847",0,1
Plectostoma,genus,Mollusca,Gastropoda,Architaenioglossa,Diplommatinidae,Plectostoma,995232,503825,4620976,7494435,Plectostoma,accepted,NA,FALSE,NA,"H. Adams, 1865",Plectostoma,Plectostoma,Plectostoma,"Plectostoma H.Adams, 1865",0,1
Eledone schultzei,species,Mollusca,Cephalopoda,Octopoda,Eledonidae,Aphrodoctopus,534522,NA,2289462,898590,Aphrodoctopus schultzei,unaccepted,NA,FALSE,NA,"(Hoyle, 1910)",Eledone schultzei,Aphrodoctopus schultzei,NA,"Aphrodoctopus schultzei (Hoyle, 1910)",0,0
