Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Narcetes stomias,Narcetes,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Naucrates ductor,Naucrates,Naucratinae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nautichthys oculofasciatus,Nautichthys,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nautichthys pribilovius,Nautichthys,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nautichthys robustus,Nautichthys,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Nectoliparis pelagicus,Nectoliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nemichthys larseni,Nemichthys,NA,Nemichthyidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nemichthys scolopaceus,Nemichthys,NA,Nemichthyidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Neoclinus bryope,Neoclinus,NA,Chaenopsidae,Blenniiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Neoscopelus macrolepidotus,Neoscopelus,NA,Neoscopelidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nezumia stelgidolepis,Nezumia,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Notacanthus chemnitzii,Notacanthus,NA,Notacanthidae,Notacanthiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Notophycis fitchi,Notophycis,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Notorynchus cepedianus,Notorynchus,NA,Hexanchidae,Hexanchiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Notorynchus cepedianus,Notorynchus,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Notoscopelus japonicus,Notoscopelus,Gymnoscopelinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",questionable
Notoscopelus resplendens,Notoscopelus,Gymnoscopelinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Occella dodecaedron,Occella,Brachyopsinae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Odontopyxis trispinosa,Odontopyxis,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oligocottus maculosus,Oligocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oligocottus rimensis,Oligocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oligocottus snyderi,Oligocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Omosudis lowii,Omosudis,NA,Alepisauridae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus clarkii,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus gorbuscha,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus keta,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus kisutch,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus mykiss,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus nerka,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oncorhynchus tshawytscha,Oncorhynchus,Salmoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oneirodes acanthias,Oneirodes,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oneirodes bulbosus,Oneirodes,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Oneirodes eschrichtii,Oneirodes,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
