"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"255","Peltogasterella gracilis","Peltogasterella gracilis","Peltogasterella gracilis","species",2959146,FALSE,NA
"256","Sarcoptes scabiei","Sarcoptes scabiei","Sarcoptes scabiei","species",64848,FALSE,NA
"257","Leptuca umbratila","Leptuca umbratila","Leptuca umbratila",NA,375520,FALSE,NA
"258","Calcinus elegans","Calcinus elegans","Calcinus elegans","species",211996,FALSE,NA
"259","Mundochthonius japonicus","Mundochthonius japonicus","Mundochthonius japonicus","species",3580920,FALSE,NA
"260","Microbisium pygmaeum","Microbisium pygmaeum","Microbisium pygmaeum","species",3578567,FALSE,NA
"261","Artemia franciscana","Artemia franciscana","Artemia franciscana","species",59094,FALSE,NA
"262","Cubaris murina","Cubaris murina","Cubaris murina","species",181691,FALSE,NA
"263","Spherillo obscurus","Spherillo obscurus","Spherillo obscurus","species",2994507,FALSE,NA
"264","Spherillo dorsalis","Spherillo dorsalis","Spherillo dorsalis","species",2994241,FALSE,NA
"265","Spherillo","Spherillo","Spherillo","genus",2994103,FALSE,NA
"266","Burmoniscus meeusei","Burmoniscus meeusei","Burmoniscus meeusei","species",2991795,FALSE,NA
"267","Gammaruspponensis","Gammaruspponensis","Gammarus balcanicus",NA,585513,FALSE,NA
