"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"565","Sagartia ornata","Sagartia ornata","species",NA,726274,2257880,1097015,NA,"Sagartia ornata","Sagartia ornata","Sagartia ornata (Holdsworth, 1855)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"566","Haliclona amboinensis","Haliclona amboinensis","species",NA,241325,5182274,2835000,NA,"Haliclona amboinensis","Haliclona amboinensis","Haliclona amboinensis (Lévi, 1961)","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"567","Primnoisiswa","Primnoisiswa",NA,NA,NA,NA,767612,NA,"Primnoisis",NA,NA,"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"568","Primnoisis millerae","Primnoisis millerae","species",NA,900324,8103436,5975189,NA,"Primnoisis millerae","Primnoisis millerae","Primnoisis millerae Moore & Alderslade, 2016","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"569","Primnoisis gracilis","Primnoisis gracilis","species",NA,900330,2261570,3678191,NA,"Primnoisis gracilis","Primnoisis gracilis","Primnoisis gracilis (Gravier, 1913)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"570","Primnoisis fragilis","Primnoisis fragilis","species",NA,900331,2261564,3678192,NA,"Primnoisis fragilis","Primnoisis fragilis","Primnoisis fragilis Kükenthal, 1912","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"571","Primnoisis formosa","Primnoisis formosa","species",NA,900328,2261568,3678224,NA,"Primnoisis formosa","Primnoisis formosa","Primnoisis formosa Gravier, 1913","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"572","Primnoisis erymna","Primnoisis erymna","species",NA,900323,7981562,5975188,NA,"Primnoisis erymna","Primnoisis erymna","Primnoisis erymna Moore, Alderslade & Miller, 2016","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"573","Primnoisis chatham","Primnoisis chatham","species",NA,900325,7521777,5975187,NA,"Primnoisis chatham","Primnoisis chatham","Primnoisis chatham Moore, Alderslade & Miller, 2016","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"574","Plagiorhynchus transversus","Plagiorhynchus transversus","species",NA,898963,8100889,5972645,NA,"Plagiorhynchus transversus","Plagiorhynchus transversus","Plagiorhynchus transversus (Rudolphi, 1819)","Acanthocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"575","Centrorhynchus aluconis","Centrorhynchus aluconis","species",NA,898962,2499758,4951593,NA,"Centrorhynchus aluconis","Centrorhynchus aluconis","Centrorhynchus aluconis (Müller, 1780)","Acanthocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"extinct_inherited, incertae_sedis"
"576","Polyacanthorhynchus caballeroi","Polyacanthorhynchus caballeroi","species",NA,898964,2500209,1079974,NA,"Polyacanthorhynchus caballeroi","Polyacanthorhynchus caballeroi","Polyacanthorhynchus caballeroi Diaz-Ungria & Gracia-Rodrigo, 1960","Acanthocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"577","Ototyphlonemertes fila","Ototyphlonemertes fila","species",NA,852492,2507568,113424,NA,"Ototyphlonemertes fila","Ototyphlonemertes fila","Ototyphlonemertes fila Corrêa, 1953","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
