taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Pachylospeleus strinati,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hernandaria armatifrons,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampheres luteus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristocnemus farinosus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mischonyx cuspidatus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triglochinura curvispina,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Multumbo dimorphicus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypophyllonomus longipes,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonyleptellus bimaculatus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roeweria virescens,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metarthrodes pulcherrimus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhioxyna zoppei,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adhynastes tenuis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liogonyleptoides inermis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogloblinia loretoensis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eusarcus insperatus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piassagera brieni,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daguerreia inermis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metavononoides albisectus,Arthropoda,Arachnida,Opiliones,Cosmetidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodnightiella impar,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruschia maculata,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metarthrodes longipes,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudogyndesoides latus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metagonyleptes calcar,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitogoniella modesta,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parapachyloides uncinatus,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tapacochana insignita,Arthropoda,Arachnida,Opiliones,Metasarcidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperpachylus mirabilis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropachylus inexpectabilis,Arthropoda,Arachnida,Opiliones,Gonyleptidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Incasarcus dianae,Arthropoda,Arachnida,Opiliones,Metasarcidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
