subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num
NC_025532,3102,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Parietochloris,Parietochloris pseudoalveolaris,1
KM462875,163096,Viridiplantae,Chlorophyta,Chlorophyceae,Chlorosarcinales,Chlorosarcinaceae,Chlorosarcina,Chlorosarcina brevispinosa,1
KM462869,3102,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Parietochloris,Parietochloris pseudoalveolaris,2
KJ143691,259949,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium,Phormidium,1
AB863125,1414809,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya cf majuscula miyamo,1
KX844901,34034,Bacteria,Pseudomonadota,Deltaproteobacteria,unknown order,unknown family,unknown genus,delta proteobacterium,1
KX588430,34034,Bacteria,Pseudomonadota,Deltaproteobacteria,unknown order,unknown family,unknown genus,delta proteobacterium,2
MT084044,2026735,Bacteria,Pseudomonadota,Deltaproteobacteria,unknown order,unknown family,unknown genus,Deltaproteobacteria,1
HQ675410,939568,Bacteria,Pseudomonadota,Deltaproteobacteria,unknown order,unknown family,unknown genus,Deltaproteobacteria,2
FJ002206,555845,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Plagiotropidaceae,unknown genus,Plagiotropidaceae,1
FJ002200,420261,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosiraantarctica,1
FJ002209,555835,Eukaryota,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Delphineis,Delphineis,1
JN049999,269212,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis,1
GU591327,400756,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,Durinskia baltica,2
AY221721,85094,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia frustulum,1
FJ002210,555753,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira antarctica var borealis,1
FJ002183,265554,Eukaryota,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora coffeiformis,1
HQ184362,189685,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus,1
MN492347,1046116,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus oceanense,1
MF872579,1920174,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Octadecabacter,Octadecabacter,1
MG837549,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,1
MF143597,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,2
KX982652,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,3
