species_verbatim,query,domain,kingdom,phylum,class,subclass,order,family,genus,species,ottid_species,rank
Acanthurus leucosternon,Acanthurus leucosternon,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus leucosternon,388125,NA
Acanthurus lineatus x Acanthurus sohal,Acanthurus lineatus x Acanthurus sohal,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus lineatus x Acanthurus sohal,5859579,NA
Acanthurus lineatus,Acanthurus lineatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus lineatus,93141,NA
Acanthurus maculiceps,Acanthurus maculiceps,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus maculiceps,4948808,NA
Acanthurus mata,Acanthurus mata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus mata,467310,NA
Acanthurus monroviae,Acanthurus monroviae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus monroviae,410350,NA
Acanthurus nigricans x Acanthurus achilles,Acanthurus nigricans x Acanthurus achilles,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigricans x Acanthurus achilles,5859576,NA
Acanthurus nigricans x Acanthurus japonicus,Acanthurus nigricans x Acanthurus japonicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigricans x Acanthurus japonicus,5859577,NA
Acanthurus nigricans x Acanthurus leucosternon,Acanthurus nigricans x Acanthurus leucosternon,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigricans x Acanthurus leucosternon,4948800,NA
Acanthurus nigricans,Acanthurus nigricans,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigricans,467313,NA
Acanthurus nigricauda,Acanthurus nigricauda,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigricauda,347377,NA
Acanthurus nigrofuscus,Acanthurus nigrofuscus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,605289,NA
Acanthurus nigroris,Acanthurus nigroris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nigroris,467316,NA
Acanthurus nubilus,Acanthurus nubilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus nubilus,1035645,NA
Acanthurus olivaceus,Acanthurus olivaceus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus olivaceus,1035648,NA
Acanthurus polyzona,Acanthurus polyzona,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus polyzona,785855,NA
Acanthurus pyroferus,Acanthurus pyroferus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus pyroferus,467319,NA
Acanthurus reversus,Acanthurus reversus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus reversus,4948815,NA
Acanthurus sohal,Acanthurus sohal,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus sohal,4948805,NA
Acanthurus tennentii,Acanthurus tennentii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus tennentii,512613,NA
Acanthurus thompsoni,Acanthurus thompsoni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus thompsoni,467297,NA
Acanthurus tractus,Acanthurus tractus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus tractus,4135120,NA
Acanthurus triostegus,Acanthurus triostegus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus triostegus,467300,NA
Acanthurus tristis,Acanthurus tristis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus tristis,4948810,NA
Acanthurus xanthopterus,Acanthurus xanthopterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus xanthopterus,824720,NA
Acantopsis choirorhynchos,Acantopsis choirorhynchos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis choirorhynchos,155545,NA
Acantopsis dialuzona,Acantopsis dialuzona,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis dialuzona,824657,NA
Acantopsis dinema,Acantopsis dinema,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis dinema,5925308,NA
Acantopsis ioa,Acantopsis ioa,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis ioa,5925309,NA
Acantopsis rungthipae,Acantopsis rungthipae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis rungthipae,5925310,NA
Acantopsis spectabilis,Acantopsis spectabilis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis spectabilis,4949358,NA
Acantopsis thiemmedhi,Acantopsis thiemmedhi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis thiemmedhi,3627733,NA
NA,Acapoeta tanganicae x Labeobarbus sp.,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,NA,Acapoeta tanganicae x Labeobarbus sp.,7066462,NA
Acapoeta tanganicae,Acapoeta tanganicae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acapoeta,Acapoeta tanganicae,3627640,NA
Acarichthys heckelii,Acarichthys heckelii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Acarichthys,Acarichthys heckelii,16170,NA
Acaronia nassa,Acaronia nassa,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Acaronia,Acaronia nassa,170137,NA
Acaronia vultuosa,Acaronia vultuosa,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Acaronia,Acaronia vultuosa,456994,NA
Acentrogobius audax,Acentrogobius audax,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius audax,3637696,NA
Acentrogobius caninus,Acentrogobius caninus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius caninus,423857,NA
Acentrogobius chlorostigmatoides,Acentrogobius chlorostigmatoides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius chlorostigmatoides,763062,NA
Acentrogobius dayi,Acentrogobius dayi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius dayi,3637693,NA
Acentrogobius janthinopterus,Acentrogobius janthinopterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius janthinopterus,1007866,NA
Acentrogobius moloanus,Acentrogobius moloanus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius moloanus,3637263,NA
Acentrogobius multifasciatus,Acentrogobius multifasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius multifasciatus,3637688,NA
Acentrogobius pflaumii,Acentrogobius pflaumii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius pflaumii,423833,NA
Acentrogobius viganensis,Acentrogobius viganensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius viganensis,23324,NA
Acentrogobius virgatulus,Acentrogobius virgatulus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius virgatulus,5924689,NA
Acentrogobius viridipunctatus,Acentrogobius viridipunctatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acentrogobius,Acentrogobius viridipunctatus,23334,NA
Acentronichthys leptos,Acentronichthys leptos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Heptapteridae,Acentronichthys,Acentronichthys leptos,1018972,NA
Acentronura breviperula,Acentronura breviperula,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Acentronura,Acentronura breviperula,7064166,NA
Acentronura tentaculata,Acentronura tentaculata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Acentronura,Acentronura tentaculata,3642252,NA
Acentrophryne dolichonema,Acentrophryne dolichonema,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Linophrynidae,Acentrophryne,Acentrophryne dolichonema,552624,NA
Acestridium discus,Acestridium discus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acestridium,Acestridium discus,925559,NA
Acestridium gymnogaster,Acestridium gymnogaster,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acestridium,Acestridium gymnogaster,950009,NA
Acestridium martini,Acestridium martini,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acestridium,Acestridium martini,373903,NA
Acestridium scutatum,Acestridium scutatum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acestridium,Acestridium scutatum,108974,NA
Acestrocephalus sardina,Acestrocephalus sardina,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Characidae,Acestrocephalus,Acestrocephalus sardina,48215,NA
Acestrorhynchus abbreviatus,Acestrorhynchus abbreviatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus abbreviatus,232235,NA
Acestrorhynchus altus,Acestrorhynchus altus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus altus,845247,NA
Acestrorhynchus britskii,Acestrorhynchus britskii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus britskii,845251,NA
Acestrorhynchus falcatus,Acestrorhynchus falcatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus falcatus,845253,NA
Acestrorhynchus falcirostris,Acestrorhynchus falcirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus falcirostris,512072,NA
Acestrorhynchus grandoculis,Acestrorhynchus grandoculis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus grandoculis,270832,NA
Acestrorhynchus heterolepis,Acestrorhynchus heterolepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus heterolepis,512087,NA
Acestrorhynchus lacustris,Acestrorhynchus lacustris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus lacustris,512082,NA
Acestrorhynchus microlepis,Acestrorhynchus microlepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus microlepis,1035041,NA
Acestrorhynchus minimus,Acestrorhynchus minimus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus minimus,512091,NA
Acestrorhynchus nasutus,Acestrorhynchus nasutus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus nasutus,565051,NA
Acestrorhynchus pantaneiro,Acestrorhynchus pantaneiro,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus pantaneiro,270852,NA
Acestrorhynchus sp,Acestrorhynchus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,NA,NA,NA
Acheilognathus argenteus,Acheilognathus argenteus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus argenteus,5555091,NA
Acheilognathus asmussii,Acheilognathus asmussii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus asmussii,3626678,NA
Acheilognathus barbatulus,Acheilognathus barbatulus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus barbatulus,500578,NA
Acheilognathus barbatus,Acheilognathus barbatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus barbatus,95312,NA
NA,Acanthorhodeus chankaensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthorhodeus,Acanthorhodeus chankaensis,887031,NA
Acheilognathus cyanostigma,Acheilognathus cyanostigma,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus cyanostigma,81093,NA
Acheilognathus deignani,Acheilognathus deignani,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus deignani,3626683,NA
Acheilognathus gracilis,Acheilognathus gracilis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus gracilis,95307,NA
Acheilognathus hypselonotus,Acheilognathus hypselonotus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus hypselonotus,3626687,NA
Acheilognathus imberbis,Acheilognathus imberbis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus imberbis,464875,NA
Acheilognathus intermedia,Acheilognathus intermedia,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus intermedia,779514,NA
Acheilognathus lanchiensis,Acheilognathus lanchiensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus lanchiensis,5555092,NA
Acheilognathus longibarbatus,Acheilognathus longibarbatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus longibarbatus,186306,NA
Acheilognathus longipinnis,Acheilognathus longipinnis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus longipinnis,81087,NA
Acheilognathus macropterus,Acheilognathus macropterus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus macropterus,636508,NA
Acheilognathus majusculus,Acheilognathus majusculus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus majusculus,487874,NA
Acheilognathus melanogaster,Acheilognathus melanogaster,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus melanogaster,81090,NA
Acheilognathus meridianus,Acheilognathus meridianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus meridianus,487888,NA
Acheilognathus omeiensis,Acheilognathus omeiensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus omeiensis,616705,NA
Acheilognathus peihoensis,Acheilognathus peihoensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus peihoensis,3626679,NA
Acheilognathus polylepis,Acheilognathus polylepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus polylepis,616701,NA
Acheilognathus rhombeus,Acheilognathus rhombeus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus rhombeus,81101,NA
Acheilognathus signifer,Acheilognathus signifer,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus signifer,130620,NA
Acheilognathus somjinensis,Acheilognathus somjinensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus somjinensis,672755,NA
Acheilognathus tabira,Acheilognathus tabira,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus tabira,880690,NA
Acheilognathus tonkinensis,Acheilognathus tonkinensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus tonkinensis,81076,NA
Acheilognathus typus,Acheilognathus typus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus typus,81078,NA
Acheilognathus yamatsutae,Acheilognathus yamatsutae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus yamatsutae,636519,NA
Achiroides leucorhynchos,Achiroides leucorhynchos,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Achiroides,Achiroides leucorhynchos,674467,NA
Achiropsetta tricholepis,Achiropsetta tricholepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Rhombosoleidae,Achiropsetta,Achiropsetta tricholepis,162224,NA
Achirus achirus,Achirus achirus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Achiridae,Achirus,Achirus achirus,3640781,NA
Achirus declivis,Achirus declivis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Achiridae,Achirus,Achirus declivis,473062,NA
Achirus lineatus,Achirus lineatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Achiridae,Achirus,Achirus lineatus,153494,NA
Achoerodus viridis,Achoerodus viridis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Labridae,Achoerodus,Achoerodus viridis,372280,NA
Achondrostoma arcasii,Achondrostoma arcasii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma arcasii,262117,NA
Achondrostoma occidentale,Achondrostoma occidentale,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma occidentale,253970,NA
Achondrostoma oligolepis,Achondrostoma oligolepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma oligolepis,262123,NA
Achondrostoma salmantinum,Achondrostoma salmantinum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Achondrostoma,Achondrostoma salmantinum,4138370,NA
Acinocheirodon melanogramma,Acinocheirodon melanogramma,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Characidae,Acinocheirodon,Acinocheirodon melanogramma,673673,NA
Acipenser baerii x Acipenser schrenckii,Acipenser baerii x Acipenser schrenckii,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii x Acipenser schrenckii,5541300,NA
Acipenser baerii x Huso dauricus,Acipenser baerii x Huso dauricus,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,NA,Acipenser baerii x Huso dauricus,5521749,NA
Acipenser baerii,Acipenser baerii,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii,518827,NA
Acipenser brevirostrum,Acipenser brevirostrum,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser brevirostrum,82746,NA
Acipenser dabryanus x Acipenser schrenckii,Acipenser dabryanus x Acipenser schrenckii,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser dabryanus x Acipenser schrenckii,7060901,NA
Acipenser dabryanus,Acipenser dabryanus,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser dabryanus,121671,NA
Acipenser fulvescens,Acipenser fulvescens,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,698270,NA
Acipenser gueldenstaedtii x Acipenser baerii,Acipenser gueldenstaedtii x Acipenser baerii,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii x Acipenser baerii,5541302,NA
Acipenser gueldenstaedtii x Huso dauricus,Acipenser gueldenstaedtii x Huso dauricus,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,NA,Acipenser gueldenstaedtii x Huso dauricus,5521747,NA
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii,378912,NA
Acipenser medirostris,Acipenser medirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris,378900,NA
