"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"54","Gymnocypris przewalskii","Gymnocypris przewalskii","Gymnocypris przewalskii",1020303,1020303,"accepted",NA,"species","(Kessler, 1876)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Gymnocypris","1","0",NA
"55","Labeo catla","Labeo catla","Labeo catla",1605292,1605292,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Labeo","0","0",NA
"56","Triplophysa pappenheimi","Triplophysa pappenheimi","Triplophysa pappenheimi",1015342,1015342,"accepted",NA,"species","(Fang, 1935)","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Triplophysa","1","0",NA
"57","Gymnocypris scleracanthus","Gymnocypris scleracanthus","Gymnocypris scleracanthus",1011102,1011102,"accepted",NA,"species","Tsao, Wu, Chen & Zhu, 1992","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Gymnocypris","1","0",NA
"58","Hemigymnus melapterus","Hemigymnus melapterus","Hemigymnus melapterus",218998,218998,"accepted",NA,"species","(Bloch, 1791)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Hemigymnus","0","0",NA
"59","Cheilinus lunulatus","Cheilinus lunulatus","Cheilinus lunulatus",218942,218942,"accepted",NA,"species","(Forsskål, 1775)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Cheilinus","0","0",NA
"60","Epibulus insidiator","Epibulus insidiator","Epibulus insidiator",218972,218972,"accepted",NA,"species","(Pallas, 1770)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Epibulus","0","0",NA
"61","Cheilinus abudjubbe","Cheilinus abudjubbe","Cheilinus abudjubbe",218939,218939,"accepted",NA,"species","Rüppell, 1835","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Cheilinus","0","0",NA
"62","Oxycheilinus digramma","Oxycheilinus digramma","Oxycheilinus digramma",277996,277996,"accepted",NA,"species","(Lacepède, 1801)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Oxycheilinus","0","0",NA
"63","Calotomus carolinus","Calotomus carolinus","Calotomus carolinus",219076,219076,"accepted",NA,"species","(Valenciennes, 1840)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Calotomus","0","0",NA
"64","Cheilinus fasciatus","Cheilinus fasciatus","Cheilinus fasciatus",218940,218940,"accepted",NA,"species","(Bloch, 1791)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Cheilinus","0","0",NA
"65","Hipposcarus harid","Hipposcarus harid","Hipposcarus harid",219090,219090,"accepted",NA,"species","(Forsskål, 1775)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Hipposcarus","0","0",NA
"66","Schizothorax eurystomus","Schizothorax eurystomus","Schizothorax eurystomus",1383086,1383086,"accepted",NA,"species","Kessler, 1872","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Schizothorax","1","0",NA
"67","Aspiorhynchus laticeps","Aspiorhynchus laticeps","Aspiorhynchus laticeps",1017931,1017931,"accepted",NA,"species","(Day, 1877)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Aspiorhynchus","1","0",NA
"68","Mystus vittatus","Mystus vittatus","Mystus vittatus",281620,281620,"accepted",NA,"species","(Bloch, 1794)","Animalia","Chordata","Teleostei","Siluriformes","Bagridae","Mystus","0","0",NA
"69","Sphyrna mokarran","Sphyrna mokarran","Sphyrna mokarran",105817,105817,"accepted",NA,"species","(Rüppell, 1837)","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","0","0",NA
"70","Discogobio longibarbatus","Discogobio longibarbatus","Discogobio longibarbatus",280566,280566,"accepted",NA,"species","Wu, 1977","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Discogobio","0","0",NA
"71","Pseudolaubuca sinensis","Pseudolaubuca sinensis","Pseudolaubuca sinensis",1015718,1015718,"accepted",NA,"species","Bleeker, 1864","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pseudolaubuca","1","0",NA
"72","Xenotoca variata","Xenotoca variata","Xenotoca variata",1019792,1019792,"accepted",NA,"species","(Bean, 1887)","Animalia","Chordata","Teleostei","Cyprinodontiformes","Goodeidae","Xenotoca","1","0",NA
"73","Squalidus multimaculatus","Squalidus multimaculatus","Squalidus multimaculatus",1012027,1012027,"accepted",NA,"species","Hosoya & Jeon, 1984","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Squalidus","1","0",NA
"74","Herzensteinia microcephalus","Herzensteinia microcephalus","Herzensteinia microcephalus",1019592,1019592,"accepted",NA,"species","(Herzenstein, 1891)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Herzensteinia","1","0",NA
"75","Schizopygopsis pylzovi","Schizopygopsis pylzovi","Schizopygopsis pylzovi",1019586,1019586,"accepted",NA,"species","Kessler, 1876","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Schizopygopsis","1","0",NA
"76","Somniosus microcephalus","Somniosus microcephalus","Somniosus microcephalus",105919,105919,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Somniosus","0","0",NA
"77","Leporinus fasciatus","Leporinus fasciatus","Leporinus fasciatus",1022725,1022725,"accepted",NA,"species","(Bloch, 1794)","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"78","Leporinus brunneus","Leporinus brunneus","Leporinus brunneus",1014212,1014212,"accepted",NA,"species","Myers, 1950","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"79","Leporinus affinis","Leporinus affinis","Leporinus affinis",1020347,1020347,"accepted",NA,"species","Günther, 1864","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"80","Leporinus affinis","Leporinus affinis","Hypomasticus steindachneri",1526139,1422090,"unaccepted","homonym","species","(Eigenmann, 1907)","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"81","Leporinus villasboasorum","Leporinus villasboasorum","Leporinus villasboasorum",1524454,1524454,"accepted",NA,"species","Burns, Chatfield, Birindelli & Sidlauskas, 2017","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"82","Leporinus jatuncochi","Leporinus jatuncochi","Leporinus jatuncochi",1013116,1013116,"accepted",NA,"species","Ovchynnyk, 1971","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"83","Leporinus ecuadorensis","Leporinus ecuadorensis","Leporinus ecuadorensis",1017134,1017134,"accepted",NA,"species","Eigenmann & Henn, 1916","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"84","Leporinus enyae","Leporinus enyae","Leporinus enyae",1524455,1524455,"accepted",NA,"species","Burns, Chatfield, Birindelli & Sidlauskas, 2017","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"85","Leporinus desmotes","Leporinus desmotes","Leporinus desmotes",1017238,1017238,"accepted",NA,"species","Fowler, 1914","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Leporinus","1","0",NA
"86","Symphodus melops","Symphodus melops","Symphodus melops",273571,273571,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","0","0",NA
"87","Cottus volki","Cottus volki","Cottus volki",1015648,1015648,"accepted",NA,"species","Taranetz, 1933","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Cottus","1","0",NA
"88","Cottus amblystomopsis","Cottus amblystomopsis","Cottus amblystomopsis",274367,274367,"accepted",NA,"species","Schmidt, 1904","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Cottus","0","0",NA
"89","Kryptopterus bicirrhis","Kryptopterus bicirrhis","Kryptopterus bicirrhis",1022390,1022390,"accepted",NA,"species","(Valenciennes, 1840)","Animalia","Chordata","Teleostei","Siluriformes","Siluridae","Kryptopterus","1","0",NA
"90","Channa harcourtbutleri","Channa harcourtbutleri","Channa harcourtbutleri",1017021,1017021,"accepted",NA,"species","(Annandale, 1918)","Animalia","Chordata","Teleostei","Anabantiformes","Channidae","Channa","1","0",NA
"91","Atractosteus tristoechus","Atractosteus tristoechus","Atractosteus tristoechus",405353,405353,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Atractosteus","0","0",NA
"92","Trichopodus pectoralis","Trichopodus pectoralis","Trichopodus pectoralis",1017825,1017825,"accepted",NA,"species","Regan, 1910","Animalia","Chordata","Teleostei","Anabantiformes","Osphronemidae","Trichopodus","1","0",NA
"93","Mastacembelus erythrotaenia","Mastacembelus erythrotaenia","Mastacembelus erythrotaenia",1021164,1021164,"accepted",NA,"species","Bleeker, 1850","Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","1","0",NA
"94","Mastacembelus armatus","Mastacembelus armatus","Mastacembelus armatus",281527,281527,"accepted",NA,"species","(Lacepède, 1800)","Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","0","0",NA
"95","Rhodeus notatus","Rhodeus notatus","Rhodeus notatus",1015927,1015927,"accepted",NA,"species","Nichols, 1929","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhodeus","1","0",NA
"96","Pungitius kaibarae","Pungitius kaibarae","Pungitius sinensis",272522,400931,"unaccepted","synonym","species","(Guichenot, 1869)","Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Pungitius","0","0",NA
"97","Gobiesox adustus","Gobiesox adustus","Gobiesox adustus",275663,275663,"accepted",NA,"species","Jordan & Gilbert, 1882","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"98","Gobiesox barbatulus","Gobiesox barbatulus","Gobiesox barbatulus",275665,275665,"accepted",NA,"species","Starks, 1913","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"99","Gobiesox daedaleus","Gobiesox daedaleus","Gobiesox daedaleus",275668,275668,"accepted",NA,"species","Briggs, 1951","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"100","Gobiesox strumosus","Gobiesox strumosus","Gobiesox strumosus",158787,158787,"accepted",NA,"species","Cope, 1870","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"101","Arcos nudus","Arcos nudus","Arcos nudus",1020567,1020567,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Arcos","0","0",NA
"102","Gobiesox nigripinnis","Gobiesox nigripinnis","Gobiesox nigripinnis",275675,275675,"accepted",NA,"species","(Peters, 1859)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"103","Gobiesox juradoensis","Gobiesox juradoensis","Gobiesox juradoensis",1383540,1383540,"accepted",NA,"species","Fowler, 1944","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","1","0",NA
"104","Gobiesox punctulatus","Gobiesox punctulatus","Gobiesox punctulatus",275678,275678,"accepted",NA,"species","(Poey, 1876)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"105","Gobiesox potamius","Gobiesox potamius","Gobiesox potamius",1012829,1012829,"accepted",NA,"species","Briggs, 1955","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","1","0",NA
"106","Gobiesox pinniger","Gobiesox pinniger","Gobiesox pinniger",275677,275677,"accepted",NA,"species","Gilbert, 1890","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"107","Gobiesox rhessodon","Gobiesox rhessodon","Gobiesox rhessodon",275679,275679,"accepted",NA,"species","Smith, 1881","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","0","0",NA
"108","Gobiesox mexicanus","Gobiesox mexicanus","Gobiesox mexicanus",1013754,1013754,"accepted",NA,"species","Briggs & Miller, 1960","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","1","0",NA
"109","Pherallodiscus funebris","Pherallodiscus funebris","Pherallodiscus funebris",282237,282237,"accepted",NA,"species","(Gilbert, 1890)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Pherallodiscus","0","0",NA
"110","Rimicola muscarum","Rimicola muscarum","Rimicola muscarum",282617,282617,"accepted",NA,"species","(Meek & Pierson, 1895)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Rimicola","0","0",NA
"111","Acyrtops beryllinus","Acyrtops beryllinus","Acyrtops beryllinus",279504,279504,"accepted",NA,"species","(Hildebrand & Ginsburg, 1927)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Acyrtops","0","0",NA
"112","Arcos erythrops","Arcos erythrops","Arcos erythrops",279682,279682,"accepted",NA,"species","(Jordan & Gilbert, 1882)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Arcos","0","0",NA
"113","Sicyases sanguineus","Sicyases sanguineus","Sicyases sanguineus",282773,282773,"accepted",NA,"species","Müller & Troschel, 1843","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Sicyases","0","0",NA
"114","Tomicodon boehlkei","Tomicodon boehlkei","Tomicodon boehlkei",282987,282987,"accepted",NA,"species","Briggs, 1955","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Tomicodon","0","0",NA
"115","Tomicodon humeralis","Tomicodon humeralis","Tomicodon humeralis",282994,282994,"accepted",NA,"species","(Gilbert, 1890)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Tomicodon","0","0",NA
"116","Tomicodon myersi","Tomicodon myersi","Tomicodon myersi",282997,282997,"accepted",NA,"species","Briggs, 1955","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Tomicodon","0","0",NA
"117","Tomicodon zebra","Tomicodon zebra","Tomicodon zebra",283004,283004,"accepted",NA,"species","(Jordan & Gilbert, 1882)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Tomicodon","0","0",NA
"118","Tomicodon","Tomicodon","Tomicodon",271102,271102,"accepted",NA,"genus","Brisout de Barneville, 1846","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Tomicodon","0","0",NA
"119","Diademichthys lineatus","Diademichthys lineatus","Diademichthys lineatus",219756,219756,"accepted",NA,"species","(Sauvage, 1883)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Diademichthys","0","0",NA
"120","Lepadichthys frenatus","Lepadichthys frenatus","Lepadichthys frenatus",279218,279218,"accepted",NA,"species","Waite, 1904","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Lepadichthys","0","0",NA
"121","Discotrema crinophila","Discotrema crinophila","Discotrema crinophilum",398425,280569,"unaccepted","misspelling","species","Briggs, 1976","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Discotrema","0","0",NA
"122","Chorisochismus dentex","Chorisochismus dentex","Chorisochismus dentex",219755,219755,"accepted",NA,"species","(Pallas, 1769)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Chorisochismus","0","0",NA
"123","Cochleoceps orientalis","Cochleoceps orientalis","Cochleoceps orientalis",280233,280233,"accepted",NA,"species","Hutchins, 1991","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Cochleoceps","0","0",NA
"124","Alabes hoesei","Alabes hoesei","Alabes hoesei",279538,279538,"accepted",NA,"species","Springer & Fraser, 1976","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Alabes","0","0",NA
"125","Parvicrepis parvipinnis","Parvicrepis parvipinnis","Parvicrepis parvipinnis",282176,282176,"accepted",NA,"species","(Waite, 1906)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Parvicrepis","0","0",NA
"126","Aspasmogaster costata","Aspasmogaster costata","Aspasmogaster costata",279749,279749,"accepted",NA,"species","(Ogilby, 1885)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Aspasmogaster","0","0",NA
"127","Apletodon dentatus","Apletodon dentatus","Apletodon dentatus",126510,126510,"accepted",NA,"species","(Facciolà, 1887)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Apletodon","0","0",NA
"128","Lepadogaster purpurea","Lepadogaster purpurea","Lepadogaster purpurea",126519,126519,"accepted",NA,"species","(Bonnaterre, 1788)","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Lepadogaster","0","0",NA
"129","Xiphister atropurpureus","Xiphister atropurpureus","Xiphister atropurpureus",283194,283194,"accepted",NA,"species","(Kittlitz, 1858)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Xiphister","0","0",NA
"130","Ambloplites rupestris","Ambloplites rupestris","Ambloplites rupestris",151293,151293,"accepted",NA,"species","(Rafinesque, 1817)","Animalia","Chordata","Teleostei","Centrarchiformes","Centrarchidae","Ambloplites","1","0",NA
"131","Etheostoma caeruleum","Etheostoma caeruleum","Etheostoma caeruleum",1022036,1022036,"accepted",NA,"species","Storer, 1845","Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","1","0",NA
"132","Diodon hystrix","Diodon hystrix","Diodon hystrix",127403,127403,"accepted",NA,"species","Linnaeus, 1758","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","0","0",NA
"133","Acentrogobius viridipunctatus","Acentrogobius viridipunctatus","Acentrogobius viridipunctatus",219369,219369,"accepted",NA,"species","(Valenciennes, 1837)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Acentrogobius","0","0",NA
"134","Kryptopterus vitreolus","Kryptopterus vitreolus","Kryptopterus vitreolus",1007332,1007332,"accepted",NA,"species","Ng & Kottelat, 2013","Animalia","Chordata","Teleostei","Siluriformes","Siluridae","Kryptopterus","1","0",NA
"135","Sorubim lima","Sorubim lima","Sorubim lima",1016883,1016883,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Teleostei","Siluriformes","Pimelodidae","Sorubim","1","0",NA
"136","Etheostoma okaloosae","Etheostoma okaloosae","Etheostoma okaloosae",1525185,1525185,"accepted",NA,"species","(Fowler, 1941)","Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","1","0",NA
"137","Clarias batrachus","Clarias batrachus","Clarias batrachus",280201,280201,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Siluriformes","Clariidae","Clarias","0","0",NA
"138","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima",158670,158670,"accepted",NA,"species","(Wilson, 1811)","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","0","0",NA
"139","Plicofollis platystomus","Plicofollis platystomus","Plicofollis platystomus",282299,282299,"accepted",NA,"species","(Day, 1877)","Animalia","Chordata","Teleostei","Siluriformes","Ariidae","Plicofollis","0","0",NA
"140","Brevitrygon walga","Brevitrygon walga","Brevitrygon walga",1042826,1042826,"accepted",NA,"species","(Müller & Henle, 1841)","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Brevitrygon","0","0",NA
"141","Leiognathus brevirostris","Leiognathus brevirostris","Leiognathus brevirostris",273618,273618,"accepted",NA,"species","(Valenciennes, 1835)","Animalia","Chordata","Teleostei","Acanthuriformes","Leiognathidae","Leiognathus","0","0",NA
"142","Sarcocheilichthys kiangsiensis","Sarcocheilichthys kiangsiensis","Sarcocheilichthys kiangsiensis",1011812,1011812,"accepted",NA,"species","Nichols, 1930","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Sarcocheilichthys","1","0",NA
"143","Macropodus chinensis","Macropodus chinensis","Macropodus opercularis",1016961,1533985,"unaccepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Anabantiformes","Osphronemidae","Macropodus","0","0",NA
"144","Pseudobagrus tenuis","Pseudobagrus tenuis","Pseudobagrus tenuis",1020453,1020453,"accepted",NA,"species","(Günther, 1873)","Animalia","Chordata","Teleostei","Siluriformes","Bagridae","Pseudobagrus","1","0",NA
"145","Cottus czerskii","Cottus czerskii","Cottus czerskii",1015693,1015693,"accepted",NA,"species","Berg, 1913","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Cottus","1","0",NA
"146","Hippocampus mohnikei","Hippocampus mohnikei","Hippocampus mohnikei",275202,275202,"accepted",NA,"species","Bleeker, 1853","Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Hippocampus","0","0",NA
"147","Anguilla reinhardtii","Anguilla reinhardtii","Anguilla reinhardtii",271711,271711,"accepted",NA,"species","Steindachner, 1867","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","0","0",NA
"148","Anguilla australis","Anguilla australis","Anguilla australis",293541,293541,"accepted",NA,"species","Richardson, 1841","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","0","0",NA
"149","Nematalosa erebi","Nematalosa erebi","Nematalosa erebi",278454,278454,"accepted",NA,"species","(Günther, 1868)","Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Nematalosa","0","0",NA
"150","Percalates colonorum","Percalates colonorum","Percalates colonorum",320151,320151,"accepted",NA,"species","(Günther, 1863)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Percalates","0","0",NA
"151","Gadopsis bispinosus","Gadopsis bispinosus","Gadopsis bispinosus",1012067,1012067,"accepted",NA,"species","Sanger, 1984","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Gadopsis","1","0",NA
"152","Gadopsis marmoratus","Gadopsis marmoratus","Gadopsis marmoratus",1021911,1021911,"accepted",NA,"species","Richardson, 1848","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Gadopsis","1","0",NA
"153","Maccullochella peelii","Maccullochella peelii","Maccullochella peelii",991273,991273,"accepted",NA,"species","(Mitchell, 1838)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Maccullochella","1","0",NA
"154","Maccullochella macquariensis","Maccullochella macquariensis","Maccullochella macquariensis",991272,991272,"accepted",NA,"species","(Cuvier, 1829)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Maccullochella","1","0",NA
"155","Macquaria australasica","Macquaria australasica","Macquaria australasica",991274,991274,"accepted",NA,"species","Cuvier, 1830","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Macquaria","1","0",NA
"156","Macquaria ambigua","Macquaria ambigua","Macquaria ambigua",1020364,1020364,"accepted",NA,"species","(Richardson, 1845)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Macquaria","1","0",NA
"157","Nannoperca obscura","Nannoperca obscura","Nannoperca obscura",281635,281635,"accepted",NA,"species","(Klunzinger, 1872)","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Nannoperca","0","0",NA
"158","Nannoperca australis","Nannoperca australis","Nannoperca australis",1020006,1020006,"accepted",NA,"species","Günther, 1861","Animalia","Chordata","Teleostei","Centrarchiformes","Percichthyidae","Nannoperca","1","0",NA
"159","Bidyanus bidyanus","Bidyanus bidyanus","Bidyanus bidyanus",1019959,1019959,"accepted",NA,"species","(Mitchell, 1838)","Animalia","Chordata","Teleostei","Centrarchiformes","Terapontidae","Bidyanus","1","0",NA
"160","Leiopotherapon unicolor","Leiopotherapon unicolor","Leiopotherapon unicolor",281283,281283,"accepted",NA,"species","(Günther, 1859)","Animalia","Chordata","Teleostei","Centrarchiformes","Terapontidae","Leiopotherapon","0","0",NA
"161","Pseudaphritis urvillii","Pseudaphritis urvillii","Pseudaphritis urvillii",282401,282401,"accepted",NA,"species","(Valenciennes, 1832)","Animalia","Chordata","Teleostei","Perciformes","Pseudaphritidae","Pseudaphritis","0","0",NA
"162","Perca fluviatilis","Perca fluviatilis","Perca fluviatilis",151353,151353,"accepted",NA,"species","Linnaeus, 1758","Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca","0","0",NA
"163","Oxyeleotris lineolata","Oxyeleotris lineolata","Oxyeleotris lineolata",991293,991293,"accepted",NA,"species","(Steindachner, 1867)","Animalia","Chordata","Teleostei","Gobiiformes","Eleotridae","Oxyeleotris","1","0",NA
"164","Hypseleotris klunzingeri","Hypseleotris klunzingeri","Hypseleotris klunzingeri",1468455,1468455,"accepted",NA,"species","(Ogilby, 1898)","Animalia","Chordata","Teleostei","Gobiiformes","Eleotridae","Hypseleotris","1","0",NA
"165","Mogurnda adspersa","Mogurnda adspersa","Mogurnda adspersa",991280,991280,"accepted",NA,"species","(Castelnau, 1878)","Animalia","Chordata","Teleostei","Gobiiformes","Eleotridae","Mogurnda","1","0",NA
"166","Philypnodon macrostomus","Philypnodon macrostomus","Philypnodon macrostomus",390378,390378,"accepted",NA,"species","Hoese & Reader, 2006","Animalia","Chordata","Teleostei","Gobiiformes","Eleotridae","Philypnodon","0","0",NA
"167","Afurcagobius tamarensis","Afurcagobius tamarensis","Afurcagobius tamarensis",279515,279515,"accepted",NA,"species","(Johnston, 1883)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Afurcagobius","0","0",NA
"168","Tasmanogobius lasti","Tasmanogobius lasti","Tasmanogobius lasti",282933,282933,"accepted",NA,"species","Hoese, 1991","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Tasmanogobius","0","0",NA
"169","Pseudogobius olorum","Pseudogobius olorum","Pseudogobius olorum",282428,282428,"accepted",NA,"species","(Sauvage, 1880)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pseudogobius","0","0",NA
"170","Ambassis agassizii","Ambassis agassizii","Ambassis agassizii",991181,991181,"accepted",NA,"species","Steindachner, 1867","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","1","0",NA
"171","Atherinosoma microstoma","Atherinosoma microstoma","Atherinosoma microstoma",279815,279815,"accepted",NA,"species","(Günther, 1861)","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Atherinosoma","0","0",NA
"172","Melanotaenia fluviatilis","Melanotaenia fluviatilis","Melanotaenia fluviatilis",1423106,1423106,"accepted",NA,"species","(Castelnau, 1878)","Animalia","Chordata","Teleostei","Atheriniformes","Melanotaeniidae","Melanotaenia","1","0",NA
"173","Melanotaenia splendida","Melanotaenia splendida","Melanotaenia splendida",991277,991277,"accepted",NA,"species","(Peters, 1866)","Animalia","Chordata","Teleostei","Atheriniformes","Melanotaeniidae","Melanotaenia","1","0",NA
"174","Craterocephalus fluviatilis","Craterocephalus fluviatilis","Craterocephalus fluviatilis",991206,991206,"accepted",NA,"species","McCulloch, 1912","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Craterocephalus","1","0",NA
"175","Craterocephalus amniculus","Craterocephalus amniculus","Craterocephalus amniculus",1011381,1011381,"accepted",NA,"species","Crowley & Ivantsoff, 1990","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Craterocephalus","1","0",NA
"176","Craterocephalus stercusmuscarum","Craterocephalus stercusmuscarum","Craterocephalus stercusmuscarum",991207,991207,"accepted",NA,"species","(Günther, 1867)","Animalia","Chordata","Teleostei","Atheriniformes","Atherinidae","Craterocephalus","1","0",NA
