"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"6346","Chlorophthalmus agassizi","Chlorophthalmus agassizi","Chlorophthalmus agassizi",126336,126336,"accepted",NA,"species","Bonaparte, 1840","Animalia","Chordata","Teleostei","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","0","0",NA
"6347","Danacetichthys galathenus","Danacetichthys galathenus","Danacetichthys galathenus",280482,280482,"accepted",NA,"species","Paxton, 1989","Animalia","Chordata","Teleostei","Beryciformes","Cetomimidae","Danacetichthys","0","0",NA
"6348","Antigonia capros","Antigonia capros","Antigonia capros",127418,127418,"accepted",NA,"species","Lowe, 1843","Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","0","0",NA
"6349","Mastacembelus favus","Mastacembelus favus","Mastacembelus favus",1016504,1016504,"accepted",NA,"species","Hora, 1924","Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","1","0",NA
"6350","Pagrus","Pagrus","Pagrus",126080,126080,"accepted",NA,"genus","Cuvier, 1816","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pagrus","0","0",NA
"6351","Elassoma evergladei","Elassoma evergladei","Elassoma evergladei",1019859,1019859,"accepted",NA,"species","Jordan, 1884","Animalia","Chordata","Teleostei","Centrarchiformes","Elassomatidae","Elassoma","1","0",NA
"6352","Albula glossodonta","Albula glossodonta","Albula glossodonta",212255,212255,"accepted",NA,"species","(Forsskål, 1775)","Animalia","Chordata","Teleostei","Albuliformes","Albulidae","Albula","0","0",NA
"6353","Dallia pectoralis","Dallia pectoralis","Dallia pectoralis",1020019,1020019,"accepted",NA,"species","Bean, 1880","Animalia","Chordata","Teleostei","Esociformes","Umbridae","Dallia","1","0",NA
"6354","Retropinna retropinna","Retropinna retropinna","Retropinna retropinna",282568,282568,"accepted",NA,"species","(Richardson, 1848)","Animalia","Chordata","Teleostei","Osmeriformes","Retropinnidae","Retropinna","0","0",NA
"6355","Polyodon spathula","Polyodon spathula","Polyodon spathula",994653,994653,"accepted",NA,"species","(Walbaum, 1792)","Animalia","Chordata","Chondrostei","Acipenseriformes","Polyodontidae","Polyodon","1","0",NA
"6356","Atractosteus spatula","Atractosteus spatula","Atractosteus spatula",279822,279822,"accepted",NA,"species","(Lacepède, 1803)","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Atractosteus","0","0",NA
"6357","Hiodon alosoides","Hiodon alosoides","Hiodon alosoides",567532,567532,"accepted",NA,"species","(Rafinesque, 1819)","Animalia","Chordata","Teleostei","Hiodontiformes","Hiodontidae","Hiodon","1","0",NA
