accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
NC_038002,Pseudictyota dubia,Diatom,offtarget,Pseudictyota dubia,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Pseudictyota,NA,NA,1
NC_038001,Entomoneis,Diatom,offtarget,Entomoneis sp.,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,Bacillariophyceae,NA,Entomoneidaceae,Entomoneis,NA,NA,1
KX014003,Unknown algae,Unknown algae,offtarget,uncultured eukaryotic phytoplankton,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
AB782478,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
MF040366,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
KX937848,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KX937822,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KX937791,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KX937753,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KX934863,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KX815447,Unknown algae,Unknown algae,offtarget,phototrophic eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
KU243263,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
LM652077,Unknown protist,Unknown protist,offtarget,uncultured protist,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
LM651990,Unknown protist,Unknown protist,offtarget,uncultured protist,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
LM651959,Unknown protist,Unknown protist,offtarget,uncultured protist,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
LM651937,Unknown protist,Unknown protist,offtarget,uncultured protist,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
OL855994,Odontella aurita,Diatom,offtarget,Odontella aurita,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,NA,NA,1
KP219077,Cyanobacteria,Bacteria,offtarget,uncultured cyanobacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Cyanobacteriota,NA,NA,NA,NA,NA,NA,1
LN736098,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
KM162558,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
KF100731,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
