accession,taxonomy
KY798465,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_acropinna
KY798466,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_gymnocephala
KY798467,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Mogurnda;Mogurnda_adspersa
KY798468,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Philypnodon;Philypnodon_macrostomus
KY798469,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Philypnodon;Philypnodon_grandiceps
KY798470,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Afurcagobius;Afurcagobius_tamarensis
KY798471,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tasmanogobius;Tasmanogobius_lasti
KY798472,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pseudogobius;Pseudogobius_olorum
KY798473,root;Eukaryota;Chordata;Actinopteri;;Ambassidae;Ambassis;Ambassis_agassizii
KY798474,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinosoma;Atherinosoma_microstoma
KY798475,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia_fluviatilis
KY798476,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia_splendida
KY798477,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_fluviatilis
KY798478,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_amniculus
KY798479,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus_stercusmuscarum
KY798480,root;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Gambusia;Gambusia_holbrooki
KY798481,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Misgurnus;Misgurnus_anguillicaudatus
KY798482,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius_auratus
KY798483,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius_carassius
KY798484,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus_carpio
KY798485,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Rutilus;Rutilus_rutilus
KY798486,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Tincidae;Tinca;Tinca_tinca
KY798487,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Plotosidae;Neosilurus;Neosilurus_hyrtlii
KY798488,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Plotosidae;Porochilus;Porochilus_rendahli
KY798489,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Plotosidae;Tandanus;Tandanus_tandanus
KY798490,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_brevipinnis
KY798491,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_olidus
KY798492,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_arcanus
KY798493,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_fuscus
KY798494,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_oliros
KY798495,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_rostratus
KY798496,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_truttaceus
KY798497,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_maculatus
KY798498,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_tantangara
KY798499,root;Eukaryota;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias_ornatus
KY798500,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus_mykiss
KY798501,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo_trutta
