"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"2491","Plesiocolochirus minaeus","Plesiocolochirus minaeus","species",1301283,749172,8774136,7072387,"Plesiocolochirus minaeus","Plesiocolochirus minaeus","Plesiocolochirus minaeus","Plesiocolochirus minaeus O'Loughlin, 2016","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Plesiocolochirus","Plesiocolochirus minaeus",1806,123083,1393249,123111,123187,206174,1301283,"O'Loughlin in O'Loughlin et al., 2016",FALSE,""
"2492","Onchocerca boehmi","Onchocerca boehmi","species",NA,896669,NA,6163826,NA,"Onchocerca boehmi","Onchocerca boehmi",NA,"Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2493","Onchocerca lienalis","Onchocerca lienalis","species",NA,896671,4557111,233821,NA,"Onchocerca lienalis","Onchocerca lienalis","Onchocerca lienalis (Stiles, 1892)","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2494","Habronema majus","Habronema majus","species",NA,896673,4557448,4167452,NA,"Habronema majus","Habronema majus","Habronema majus Schneider, 1866","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2495","Aslia pygmaea","Aslia pygmaea","species",529439,748142,5966376,572468,"Aslia pygmaea","Aslia pygmaea","Aslia pygmaea","Aslia pygmaea (Théel, 1886)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Aslia","Aslia pygmaea",1806,123083,1393249,123111,123187,123476,529439,"(Théel, 1886)",FALSE,""
"2496","Thyonella gemmata","Thyonella gemmata","species",158534,217749,2279272,482186,"Thyonella gemmata","Thyonella gemmata","Thyonella gemmata","Thyonella gemmata (Pourtalès, 1851)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Thyonella","Thyonella gemmata",1806,123083,1393249,123111,123187,158533,158534,"(Pourtalès, 1851)",FALSE,""
"2497","Lissothuriatriens","Lissothuriatriens",NA,NA,NA,NA,3653237,NA,"Lissothuria nutriens",NA,NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2498","Sclerodactyla briareus","Sclerodactyla briareus","species",158532,222841,2279282,125645,"Sclerodactyla briareus","Sclerodactyla briareus","Sclerodactyla briareus","Sclerodactyla briareus (Lesueur, 1824)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Sclerodactylidae","Sclerodactyla","Sclerodactyla briareus",1806,123083,1393249,123111,196182,158531,158532,"(Lesueur, 1824)",FALSE,""
"2499","Paracaudina chilensis","Paracaudina chilensis","species",225804,223148,2279578,896295,"Paracaudina chilensis","Paracaudina chilensis","Paracaudina chilensis","Paracaudina chilensis (J.Müller, 1850)","Echinodermata","Holothuroidea","Actinopoda","Molpadida","Caudinidae","Paracaudina","Paracaudina chilensis",1806,123083,1393249,715684,148810,225803,225804,"(J. Müller, 1850)",FALSE,""
"2500","Molpadia arenicola","Molpadia arenicola","species",NA,852449,5188300,398503,NA,"Molpadia arenicola","Molpadia arenicola","Molpadia arenicola (Stimpson, 1857)","Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"2501","Afrocucumis africana","Afrocucumis africana","species",210950,223036,2279352,482198,"Afrocucumis africana","Afrocucumis africana","Afrocucumis africana","Afrocucumis africana (Semper, 1867)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Sclerodactylidae","Afrocucumis","Afrocucumis africana",1806,123083,1393249,123111,196182,205161,210950,"(Semper, 1867)",FALSE,""
"2502","Psolidium whittakeri","Psolidium whittakeri","species",529075,280227,5966657,3652807,"Psolidium whittakeri","Psolidium whittakeri","Psolidium whittakeri","Psolidium whittakeri O'Loughlin & Ahearn, 2008","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Psolidae","Psolidium","Psolidium whittakeri",1806,123083,1393249,123111,123189,123505,529075,"O'Loughlin & Ahearn, 2008",FALSE,""
