"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"8833","Uca major","Uca major","species",1264586,934193,4382493,2981592,"Uca major","Uca major","Uca major","Uca major Herbst, 1782","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Uca","Uca major",1065,1071,1086,1130,106773,106971,1264586,"(Herbst, 1782)",FALSE,""
"8834","Discoplax michalis","Discoplax michalis","species",NA,797903,8613434,5930889,NA,"Discoplax michalis","Discoplax michalis","Discoplax michalis P.K.L.Ng & H.-T.Shih, 2015","Arthropoda",NA,NA,NA,"Gecarcinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8835","Ptychognathus ishii","Ptychognathus ishii","species",444812,934649,5863328,796820,"Ptychognathus ishii","Ptychognathus ishii","Ptychognathus ishii","Ptychognathus ishii T.Sakai, 1939","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Varunidae","Ptychognathus","Ptychognathus ishii",1065,1071,1086,1130,439140,203903,444812,"T Sakai, 1939",FALSE,""
"8836","Cleantiella isopus","Cleantiella isopus","species",259803,936113,2204744,2998840,"Cleantiella isopus","Cleantiella isopus","Cleantiella isopus","Cleantiella isopus (Miers, 1881)","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Idoteidae","Cleantiella","Cleantiella isopus",1065,1071,1086,1131,118283,248618,259803,"(Miers, 1881)",FALSE,""
"8837","Caridina leucosticta","Caridina leucosticta","species",586279,782886,5863031,256402,"Caridina leucosticta","Caridina leucosticta","Caridina leucosticta","Caridina leucosticta Stimpson, 1860","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Atyidae","Caridina","Caridina leucosticta",1065,1071,1086,1130,148534,240672,586279,"Stimpson, 1860",FALSE,""
"8838","Minuca brevifrons","Minuca brevifrons","species",955258,798146,9300013,951606,"Minuca brevifrons","Minuca brevifrons","Minuca brevifrons","Minuca brevifrons (Stimpson, 1860)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Minuca","Minuca brevifrons",1065,1071,1086,1130,106773,955256,955258,"(Stimpson, 1860)",FALSE,""
"8839","Minuca victoriana","Minuca victoriana","species",955274,934194,9564752,209366,"Minuca victoriana","Minuca victoriana","Minuca victoriana","Minuca victoriana (von Hagen, 1987)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Minuca","Minuca victoriana",1065,1071,1086,1130,106773,955256,955274,"(von Hagen, 1987)",FALSE,""
"8840","Leptuca cumulanta","Leptuca cumulanta","species",955222,798053,9604579,400058,"Leptuca cumulanta","Leptuca cumulanta","Leptuca cumulanta","Leptuca cumulanta (Crane, 1943)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Leptuca","Leptuca cumulanta",1065,1071,1086,1130,106773,955193,955222,"(Crane, 1943)",FALSE,""
"8841","Leptuca dorotheae","Leptuca dorotheae","species",955224,934411,9312777,2981584,"Leptuca dorotheae","Leptuca dorotheae","Leptuca dorotheae","Leptuca dorotheae (von Hagen, 1968)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Leptuca","Leptuca dorotheae",1065,1071,1086,1130,106773,955193,955224,"(von Hagen, 1968)",FALSE,""
"8842","Leptuca speciosa","Leptuca speciosa","species",955243,798056,9285838,2981590,"Leptuca speciosa","Leptuca speciosa","Leptuca speciosa","Leptuca speciosa (Ives, 1891)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Leptuca","Leptuca speciosa",1065,1071,1086,1130,106773,955193,955243,"(Ives, 1891)",FALSE,""
