"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"211","Porichthys notatus",0,1,0,0,"0","0","Porichthys notatus","Actinopteri","Batrachoidiformes","Batrachoididae","Porichthys","accepted",NA,FALSE,275658,20115,2350817,720409
"212","Poroclinus rothrocki",0,1,0,0,"0","0","Poroclinus rothrocki","Actinopteri","Perciformes","Stichaeidae","Poroclinus","accepted",NA,FALSE,254385,14797,2394934,584440
"213","Poromitra crassiceps",0,1,0,0,"0","0","Poromitra crassiceps","Actinopteri","Beryciformes","Melamphaidae","Poromitra","accepted",NA,FALSE,127273,34228,2410296,190701
"214","Prionace glauca",0,1,0,0,"0","0","Prionace glauca","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","accepted",NA,FALSE,105801,12783,2417940,361523
"215","Protomyctophum thompsoni",0,1,0,0,"0","0","Protomyctophum thompsoni","Actinopteri","Myctophiformes","Myctophidae","Protomyctophum","accepted",NA,FALSE,272732,140423,2406343,785202
"216","Psychrolutes paradoxus",0,1,0,0,"0","0","Psychrolutes paradoxus","Actinopteri","Perciformes","Psychrolutidae","Psychrolutes","accepted",NA,FALSE,254566,99721,2334904,792014
"217","Radulinus asprellus",0,1,0,0,"0","0","Radulinus asprellus","Actinopteri","Perciformes","Cottidae","Radulinus","accepted",NA,FALSE,282541,34012,2333754,355906
"218","Radulinus boleoides",0,1,0,0,"0","0","Radulinus boleoides","Actinopteri","Perciformes","Cottidae","Radulinus","accepted",NA,FALSE,282542,148340,2333752,792017
"219","Remora australis",0,1,0,0,"0","0","Remora australis","Actinopteri","Carangiformes","Echeneidae","Remora","accepted",NA,FALSE,126850,34793,2375286,665974
"220","Rhamphocottus richardsoni",0,1,0,0,"0","0","Rhamphocottus richardsonii","Actinopteri","Perciformes","Rhamphocottidae","Rhamphocottus","unaccepted","misspelling",TRUE,282578,NA,2336939,706152
